run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R01_user_tweets_routing,False,wrong_tool,wrong_arg_value,timeline,timeline,False,True,False,"screenname: expected 'sama', got 'SamAltman'"
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R02_search_tweets_routing,False,wrong_tool,missing_tool_call,social_search,timeline,False,False,False,missing tool call social_search; extra tool call timeline
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'tin tức AI hôm nay'"
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R06_timeframe_arg,False,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"topic: expected 'news', got 'general'"
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R07_search_type_arg,False,wrong_arg_value,missing_tool_call,social_search,timeline,False,False,False,missing tool call social_search; extra tool call timeline
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R08_out_of_scope,False,out_of_scope,provider_error,no_tool,,False,False,False,"BadRequestError: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=lookup>{""query"": ""nguyên hàm của x^2"", ""topic"": ""general""}'}}"
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R09_no_tool_capability,False,unnecessary_tool,unexpected_tool_call,no_tool,clarify,False,False,False,expected no tool call
v0_B_base_groq_20260729T150815954810,v0,v0+pf0c107a9d7a1+tec83d5b07079,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
